机会名称,机会类型,机会类型分组,主办方,议题标签,主题分区,相关度,截止日期,会议日期,地点/线上,原网页链接,申请/投稿链接,参加条件,费用,是否有资助,资助说明链接,需要准备的材料,岗位类型,岗位职能,排除原因,行动优先级,状态,备注,发现日期,最近核查日期,链接指纹
UN Policy Pulse Intern,internship,Internship,United Nations Department of Global Communications / UN Careers,public information; communications; UN policy; global governance; multilateral cooperation,国际关系/政治学,低,2026-07-13,待核查,Work Location listed as Vienna；Duty Station listed as New York，需核查,https://careers.un.org/jobSearchDescription/279912,https://careers.un.org/jobSearchDescription/279912,UN internship 通常要求在读本科高年级/研究生或毕业后短期内；本岗位具体学历、语言和传播/政策写作要求待核查,No Fee；差旅、签证、住宿及生活成本待核查,待核查,待核查,UN Careers 个人档案/PHP、教育经历、语言与技能信息等；是否需 writing sample 待核查,Internship,传播倡导,Specialized role barrier: it,高,值得申请,公共信息与政策传播岗位，可用于积累联合国政策议题、全球治理传播和多边叙事经验。,2026-07-10,2026-07-10,de7dce8c68937595
UNDP Tokyo Public Affairs Intern,internship,Internship,UNDP Representation Office in Tokyo,UNDP; public affairs; communications; partnerships; youth engagement; SDGs; development,发展/不平等,低,2026-07-13,待核查,Tokyo，页面说明可根据事先协商偶尔远程,https://www.undp.org/sites/g/files/zskgke326/files/2026-06/tor-pa-intern-202606.pdf,mailto:undptokyo.hr@undp.org,研究生在读、本科最后一年在读，或毕业一年内；日语熟练；英语书面和口语优秀；专业经历为加分项,无申请费；除UNDP实习津贴外，其他相关费用由实习生或资助方承担,是,https://www.undp.org/sites/g/files/zskgke326/files/2026-06/tor-pa-intern-202606.pdf,UNDP Internship application form；英文和日文简历；英文和日文cover letter,Internship,传播倡导/伙伴关系/项目支持,岗位职能偏强专业壁垒：hr,高,值得申请,公共传播、私营部门伙伴关系、青年参与和发展议题结合紧密，截止很近。,2026-07-10,2026-07-10,e5cebac7f408f29e
"Evaluation, Compliance, and Risk Management Intern",internship,Internship,United Nations Department of Safety and Security,evaluation; compliance; risk management; UN operations; governance,国际关系/政治学,低,2026-07-14,Needs checking,"New York, United States; in-person or remote",https://careers.un.org/jobSearchDescription/279371,https://careers.un.org/jobSearchDescription/279371,UN internship eligibility; student or recent graduate requirements need checking in the job page.,No application fee,No,Needs checking,Online UN Careers application; CV or PHP profile; cover letter or motivation statement may be required; details need checking.,Internship,Governance,Security department context may be less aligned with development policy; apply only if duties are evaluation and governance-focused.,中,新发现,"Potentially valuable for monitoring, evaluation, compliance, and institutional governance skills inside the UN system.",2026-07-10,2026-07-10,138b9f429fd52f33
"Intern – Climate, Economics and Finance",internship,Internship,World Resources Institute India,climate economics; climate finance; low-carbon transition; sustainability; policy research,可持续发展/气候,低,2026-07-14,待核查,"Bangalore, India；hybrid / office flex",https://www.wri.org/careers/jobs/intern-climate-economics-and-finance-2026-jr100352,https://www.wri.org/careers/jobs/intern-climate-economics-and-finance-2026-jr100352,正在攻读气候变化、可持续、公共政策、发展研究或相关方向硕士学位；0-1年相关工作/实习经验；其他资格待核查,待核查,待核查,待核查,简历；可能有 writing test；cover letter 或其他材料待核查,Internship,气候,Specialized role barrier: it,高,值得申请,"WRI 的 Climate, Economics and Finance 项目与气候融资、低碳转型和发展政策高度吻合，且截止临近。",2026-07-10,2026-07-10,3eca38673e554f99
Research Intern: Cyber and New Technologies,internship,Internship,United Nations Interregional Crime and Justice Research Institute,AI governance; digital governance; cyber policy; emerging technologies; global governance,AI治理,高,2026-07-14,Needs checking,Remote full time; duty station Turin,https://careers.un.org/jobSearchDescription/280439,https://careers.un.org/jobSearchDescription/280439,Eligibility details should be verified in UN Careers; internship category I-1.,No application fee stated by UN Careers,Needs checking,Needs checking,UN Careers application profile and role-specific materials; exact documents need checking,Internship,AI or digital governance,,高,值得申请,"Strong fit for AI governance and emerging technology policy with a UN research institute, but the deadline is very close.",2026-07-10,2026-07-10,f7f5d821b1f09c1c
UNEP Finance Initiative Risk Center Internship - Support for Sustainability Risk Programming,internship,Internship,United Nations Environment Programme (UNEP),可持续金融;气候金融;风险治理;ESG;国际组织,可持续发展/气候,低,2026-07-14,待核查,Geneva/Remote,https://careers.un.org/jobSearchDescription/280026?language=en,https://careers.un.org/jobSearchDescription/280026?language=en,UN Secretariat internship 通常要求在读或近期毕业，具体学历、专业和语言要求以岗位页面为准；待核查,No Fee；实习薪酬/津贴待核查,待核查,待核查,UN Careers/Inspira 在线申请材料；具体材料待核查,Internship,可持续发展;气候;发展融资;政策研究,Specialized role barrier: it,高,值得申请,UNEP FI 与可持续金融和风险治理高度匹配，截止日很近，应优先核查并提交。,2026-07-10,2026-07-10,13aba2ca53c95d6c
2026 Youth Symposium Call for Papers,CFP,学术论坛/CFP,East Asia Young Scholars Association,East Asian studies; youth scholars; regional studies; political science; international relations; AI governance,AI治理,中,2026-07-15,Needs checking,Needs checking,https://eaysa.org,https://eaysa.org,"Advanced students, PhD candidates, postdocs, early-career faculty and scholars whose research intersects with East Asian studies.","EAYSA states its activities, membership and Anchor publications are free; symposium-specific cost needs checking",Needs checking,Needs checking,Submission materials need checking in the symposium guidelines,,研究支持,,中,待核查,Potentially useful early-career East Asian studies venue; verify symposium theme and political sensitivity before submission.,2026-07-10,2026-07-10,69337ca592920d5f
"20th Annual Conference on Asian Studies: Denial, Exclusion, Absence",CFP,学术论坛/CFP,"Department of Asian Studies, Palacký University Olomouc",Asian studies; international relations; political science; sociology; East Asia,发展/不平等,中,2026-07-15,2026-11-20 to 2026-11-21,"Olomouc, Czech Republic",https://acas.upol.cz/call-for-papers,https://acas.upol.cz/call-for-papers,"Original research in Asian studies, including international relations, political science, sociology and related humanities or social science fields.",Needs checking,Needs checking,Needs checking,"Abstract, paper title, author information and relevant proposal details; exact format needs checking.",,Policy research,,中,新发现,"Relevant for East Asian or Asian governance research, though the theme is broader than development or global governance.",2026-07-10,2026-07-10,1e52529500900b71
2nd Edition International Conference on Governance and Sustainability: Call for Papers,CFP,学术论坛/CFP,International Conference on Governance and Sustainability,governance; sustainability; climate change; CSR; technological change; economic change,可持续发展/气候,低,2026-07-15,2026-10-30,"Hammamet, Tunisia",https://eaa-online.org/arc/events/2nd-edition-international-conference-on-governance-and-sustainability-call-for-papers,https://eaa-online.org/arc/events/2nd-edition-international-conference-on-governance-and-sustainability-call-for-papers,"Researchers and practitioners working on governance, sustainability, CSR, climate, technological, and economic transformations; detailed eligibility needs checking.",Needs checking,Needs checking,Needs checking,Paper or proposal materials need checking in the full call.,,Policy research,Higher political sensitivity or China-related risk framing: ned,中高,值得申请,"Near deadline and thematically aligned with governance, sustainability, climate, and economic transformation.",2026-07-10,2026-07-10,45f0e215524d09bc
AGI Governance Fellowship,fellowship,Fellowship,Johns Hopkins University School of Government and Policy,AGI治理;AI政策;民主治理;制度设计;前沿AI,AI治理,高,2026-07-15,2026-09-08至2026-09-25,"Washington, DC；in-person only",https://sogp.jh.edu/agi-governance-fellowship,https://sogp.jh.edu/agi-governance-fellowship,须有相关领域研究生学位或等同实践经验；early career，通常为本科毕业8年内；已具备AI治理或前沿AI系统技术理解基础,项目资助旅行、住宿和餐食/incidentals；其他费用待核查,是,https://sogp.jh.edu/agi-governance-fellowship,在线申请材料；具体待核查,,AI或数字治理;政策研究;战略研究,,高,值得申请,面向已具备AI治理基础的early-career研究者/实践者，资助覆盖较清晰，适合高强度政策训练。,2026-07-10,2026-07-10,5e7012131b3a4b4f
Call for Paper and Panel Proposals: 80th Annual Conference,CFP,学术论坛/CFP,New York State Political Science Association,political science; governance; comparative politics; public policy; international relations,国际关系/政治学,中,2026-07-15,2026-09-26,Needs checking,https://www.nyspsa.org/80th-annual-conference-information-2026-1/call-for-paper-and-panel-proposals,https://www.nyspsa.org/80th-annual-conference-information-2026-1/call-for-paper-and-panel-proposals,Open to paper and panel proposals in political science; membership and presenter requirements need checking.,Needs checking,Needs checking,Needs checking,"Paper or panel proposal, title, abstract, author information; exact submission fields need checking.",,Policy research,,中,新发现,"Useful near-term political science CFP, especially for governance or comparative politics papers.",2026-07-10,2026-07-10,d16a7b4a5149fd01
"Communications Intern, ICCAP Project",internship,Internship,Stockholm Environment Institute Asia,climate finance; inclusive climate finance; Asia-Pacific; communications; sustainability,可持续发展/气候,高,2026-07-15,2026-08 to 2027-01,"Bangkok, Thailand",https://www.sei.org/people/jobs/communications-intern-asia,https://www.sei.org/people/jobs/communications-intern-asia,"Recent graduate within the past year or master's student in communications, media, digital marketing, visual communications or similar fields; excellent English required.",Paid internship; relocation and insurance details need checking.,Yes,https://www.sei.org/people/jobs/communications-intern-asia,"Short cover letter, CV, one reference, insurance information, and expected travel timing for Bangkok.",Internship,Communications,,中高,值得申请,Strong climate-finance communications role linked to inclusive climate finance for vulnerable communities in Asia-Pacific.,2026-07-10,2026-07-10,f3ac2235157e6f3b
Energy Policy Internship,internship,Internship,Stockholm Environment Institute Asia,energy transition; climate policy; just transition; stakeholder engagement; Southeast Asia,可持续发展/气候,高,2026-07-15,2026-08 to 2027-01,"Bangkok, Thailand",https://www.sei.org/people/jobs/energy-policy-intern-asia,https://www.sei.org/people/jobs/energy-policy-intern-asia,"Graduate student or recent graduate with background in energy policy, renewable energy, just energy transition or related fields; English required and Thai is an advantage.",No application fee stated,Yes,https://www.sei.org/people/jobs/energy-policy-intern-asia,Application materials need checking on the application portal,Internship,Climate,,中高,值得申请,"Strong fit for climate governance and just energy transition policy, especially for Southeast Asia research interests.",2026-07-10,2026-07-10,991349d26ddbdeb8
Gender Inclusive Climate Finance Internship,internship,Internship,Stockholm Environment Institute Asia,climate finance; gender; social inclusion; adaptation finance; Asia-Pacific; development,可持续发展/气候,高,2026-07-15,2026-09-01 to 2027-02-28,"Bangkok, Thailand",https://www.sei.org/people/jobs/genjust-intern-asia,https://www.sei.org/people/jobs/genjust-intern-asia,"Master's student or recent master's graduate in gender studies, public policy, development or a related field; English fluency required.",No application fee stated,Yes,https://www.sei.org/people/jobs/genjust-intern-asia,"Short cover letter, CV, and one reference contact",Internship,Climate,,高,值得申请,Excellent NGO policy-research fit for inclusive climate adaptation finance and development policy in Asia-Pacific.,2026-07-10,2026-07-10,2d004f22df1e28d5
"Green Finance, Technological Innovation & Global Governance International Conference",学术年会/CFP,学术论坛/CFP,"Shanghai University of International Business and Economics School of Finance / FinLAB, Dublin City University",green finance; technological innovation; global governance; sustainable finance; climate risk; digital finance,可持续发展/气候,高,2026-07-15,2026-08-29至2026-08-30,"Shanghai, China",https://info.business.dcu.ie/2026-finance-conference,mailto:finance_conference@suibe.edu.cn,研究者、博士生、政策制定者和实务界人士；论文投稿截止已过，注册截止仍需核查,官网显示doctoral student session和conference无费用；具体参会费用需再核查,是,https://info.business.dcu.ie/2026-finance-conference,论文需title page和anonymous main paper；PDF格式；邮件投稿；若仅注册则材料待核查,,发展融资/气候/政策研究,,中,待核查,论文投稿截止已过，但注册和博士生机会信息值得核查，主题与绿色金融和全球治理高度匹配。,2026-07-10,2026-07-10,a84ff3f5a8d7806f
ICEGOV 2026 Scholarship Application,学术年会,学术论坛/CFP,United Nations University Operating Unit on Policy-Driven Electronic Governance (UNU-EGOV) 与 Prince Sultan University,电子治理;数字政府;数字治理;社会包容;可持续发展,AI治理,高,2026-07-15,2026-09-28至2026-10-01,"Riyadh, Saudi Arabia",https://www.icegov.org/2026,https://www.icegov.org/2026,Scholarship具体申请条件待核查；会议面向电子治理/数字治理领域研究者、政府、国际组织、民间社会与产业界,参会注册费和奖学金覆盖范围待核查,是,https://www.icegov.org/2026,Scholarship申请材料待核查；如已投稿/录用论文需准备论文和作者注册材料,,AI或数字治理;政策研究;治理,,高,值得申请,UNU-EGOV主导的数字治理会议，奖学金申请7月15日截止，适合数字政府/AI治理方向。,2026-07-10,2026-07-10,0fb7b168583fef6c
Intern - Green Financial Systems and Climate Strategy,internship,Internship,European Bank for Reconstruction and Development,green finance; climate strategy; Paris alignment; financial institutions; MDB,可持续发展/气候,高,2026-07-15,12 months,"London, United Kingdom",https://jobs.ebrd.com/job/London-Intern/1412767333,https://jobs.ebrd.com/job/London-Intern/1412767333,Eligibility and qualifications need checking on the EBRD job page; role is in Policy and Partnerships with Green Financial Systems.,No application fee indicated; relocation and visa details need checking.,Yes,https://jobs.ebrd.com/job/London-Intern/1412767333,"CV, online application and supporting information; exact materials need checking.",Internship,Climate,,高,值得申请,Excellent MDB climate finance opportunity with direct exposure to green economy transition operations.,2026-07-10,2026-07-10,b9cea711ae05de51
PIU 2026 Policy Fellowship,policy fellowship,Fellowship,UK Policy Insights Unit / Open Innovation Team,policy fellowship; AI and emerging technologies; governance; sustainability; global systems; economic development,AI治理,中,2026-07-15,6个月，具体起止时间待核查,英国，形式待核查,https://www.gov.uk/government/news/applications-now-open-for-oits-2026-policy-fellowship,https://www.gov.uk/government/news/applications-now-open-for-oits-2026-policy-fellowship,面向UK-based civil servants/public officials，SEO-G6或同等职级,待核查,待核查,待核查,申请表；具体材料见Q&A pack,,政策研究/治理/AI或数字治理/战略研究,,中,新发现,主题含AI、新兴技术、治理、全球系统与经济发展，但资格限制较强。,2026-07-10,2026-07-10,72b593eabacc4461
Political Affairs Intern: Policy Planning,internship,Internship,United Nations Department of Peace Operations,政策规划;多边主义;国际组织;全球治理;和平行动,国际关系/政治学,低,2026-07-15,待核查,"New York, UNHQ",https://careers.un.org/jobSearchDescription/279488,https://careers.un.org/jobSearchDescription/279488,UN Secretariat internship 通常要求在读或近期毕业，具体学历、专业和语言要求以岗位页面为准；待核查,No Fee；实习薪酬/津贴待核查,待核查,待核查,UN Careers/Inspira 在线申请材料；具体材料待核查,Internship,政策研究;战略研究;治理,Specialized role barrier: it,高,值得申请,政策规划方向与全球治理、国际组织职业探索高度相关。,2026-07-10,2026-07-10,12657989d1ba601f
Second International Conference on Just Transition and Environmental Justice,CFP,学术论坛/CFP,Aberystwyth University Department of Law and Criminology,just transition; environmental justice; climate finance; climate governance; decarbonisation,可持续发展/气候,中,2026-07-15,2026-09-10 to 2026-09-11,"Aberystwyth University, United Kingdom",https://www.aber.ac.uk/en/lac/news/just-transition-and-environmental-justice/call-for-papers,https://www.aber.ac.uk/en/lac/news/just-transition-and-environmental-justice/call-for-papers,"Researchers and participants interested in just transition, environmental justice and climate governance.",Needs checking,Needs checking,Needs checking,Abstract and author details; exact format needs checking.,,Policy research,,中高,新发现,Good climate governance CFP with a near deadline and a strong justice and finance angle.,2026-07-10,2026-07-10,ae560e5f7e7e2f36
Communication Specialist Intern,internship,Internship,United Nations Office for the Coordination of Humanitarian Affairs / UN Careers,communications; humanitarian coordination; public information; international organizations; multilateral cooperation,全球治理/国际组织,低,2026-07-16,待核查,Kuwait；part-time；in person,https://careers.un.org/jobSearchDescription/280158,https://careers.un.org/jobSearchDescription/280158,UN internship 通常要求在读本科高年级/研究生或毕业后短期内；本岗位具体传播、编辑、社媒或语言要求待核查,No Fee；差旅、签证、住宿及生活成本待核查,待核查,待核查,UN Careers 个人档案/PHP、教育经历、语言与技能信息等；作品集或 writing sample 是否需要待核查,Internship,传播倡导,Specialized role barrier: it,中,新发现,虽偏人道协调传播，但仍属于联合国公共信息和国际组织能力建设经验，可作为备选。,2026-07-10,2026-07-10,7e27c50e2d7dc7c1
Communications and Outreach Intern,internship,Internship,United Nations Environment Programme,UN system; environment; communications; climate; sustainable development,可持续发展/气候,高,2026-07-16,Needs checking,"Nairobi, Kenya, in person",https://careers.un.org/jobSearchDescription/279623?language=en,https://careers.un.org/jobSearchDescription/279623?language=en,Eligibility needs checking inside UN Careers; likely student or recent graduate eligibility applies.,No application fee indicated; remuneration needs checking.,Needs checking,Needs checking,"UN Careers profile, CV or personal history information, cover letter, and education information; exact materials need checking.",Internship,Communications,,高,值得申请,Strong fit for climate and sustainable development communications within the UN system; verify details inside UN Careers with the Internship filter.,2026-07-10,2026-07-10,99fa53eecb68c86f
Claude Corps Fellow,fellowship,Fellowship,"Claude Corps, CodePath, and Anthropic",AI; public interest technology; nonprofit capacity; early career; social impact,AI治理,中,2026-07-17,"October 2026 start, 12 months","United States, host organization placement",https://job-boards.greenhouse.io/claudecorps/jobs/4250200009,https://job-boards.greenhouse.io/claudecorps/jobs/4250200009,Early career applicants with required Claude training completion; detailed eligibility and work authorization requirements need checking.,No application fee indicated.,Yes,https://www.anthropic.com/claude-corps/fellow,Application form and proof of completion of the required training; additional materials need checking.,,AI or digital governance,,中高,新发现,"Relevant for applied public interest AI, though it is more implementation and nonprofit capacity building than AI governance research.",2026-07-10,2026-07-10,b9fac00f2a613a1e
Environmental Affairs Intern,internship,Internship,United Nations Environment Programme,climate; environment; sustainable development; environmental governance; UN system,可持续发展/气候,高,2026-07-17,Needs checking,"Nairobi, Kenya",https://careers.un.org/jobSearchDescription/280400?language=en,https://careers.un.org/jobSearchDescription/280400?language=en,Eligibility details should be verified in UN Careers; internship category I-1.,No application fee stated by UN Careers,Needs checking,Needs checking,UN Careers application profile and role-specific materials; exact documents need checking,Internship,Climate,,高,值得申请,Good UN-system internship for climate and environmental governance exposure.,2026-07-10,2026-07-10,9b6ea4b0606c64a0
INTERN - ECONOMIC AFFAIRS,internship,Internship,United Nations Economic and Social Commission for Asia and the Pacific / UN Careers,economic affairs; Asia-Pacific development; sustainable development; international finance; policy analysis,可持续发展/气候,低,2026-07-17,待核查,"Bangkok, Thailand",https://careers.un.org/jobSearchDescription/278696,https://careers.un.org/jobSearchDescription/278696,UN internship 通常要求在读本科高年级/研究生或毕业后短期内；本岗位具体经济学、数据、政策分析和语言要求待核查,No Fee；差旅、签证、住宿及生活成本待核查,待核查,待核查,UN Careers 个人档案/PHP、教育经历、语言与技能信息等；其他材料待核查,Internship,发展融资,Specialized role barrier: it,高,值得申请,ESCAP 经济事务实习与亚太发展政策、区域合作和可持续发展议题直接相关。,2026-07-10,2026-07-10,1e8af05d55351bba
"Social Media and Visual Design Intern, Climate, Economics, and Finance Program",internship,Internship,World Resources Institute Indonesia,climate economics; climate finance; communications; sustainability; Indonesia,可持续发展/气候,低,2026-07-17,2026-08-01 to 2026-12-31,"Jakarta, Indonesia, hybrid",https://www.wri.org/careers/jobs/social-media-and-visual-design-intern-2026-jr100356,https://www.wri.org/careers/jobs/social-media-and-visual-design-intern-2026-jr100356,"Undergraduate or recent graduate in communications, design, journalism, environmental studies, public policy, international relations or related fields; legal authorization for Indonesia required.",Paid internship; relocation and visa costs need checking.,Yes,https://www.wri.org/careers/jobs/social-media-and-visual-design-intern-2026-jr100356,"Resume, application form, portfolio with social media copy samples and visual design work; cover letter needs checking.",Internship,Communications,Specialized role barrier: legal,中,新发现,"Useful for climate-policy communication, but less research-heavy than policy fellowship or analytical internship roles.",2026-07-10,2026-07-10,6cb8e865e25209e7
Artificial Intelligence Intern - Gulf Area Office,internship,Internship,UNICEF,AI governance; child rights; digital policy; programme management; partnerships,AI治理,低,2026-07-18,Two months,"Abu Dhabi, United Arab Emirates",https://jobs.unicef.org/en-us/job/594245/artificial-intelligence-intern-gulf-area-office-in-abu-dhabi-for-two-months,https://jobs.unicef.org/en-us/job/594245/artificial-intelligence-intern-gulf-area-office-in-abu-dhabi-for-two-months,"Currently enrolled in or graduated within the past two years from an undergraduate, graduate or PhD programme; exposure to political and ethical AI debates; English or another UNICEF working language required.","UNICEF does not charge a processing fee; travel, visa and insurance conditions need checking.",Needs checking,Needs checking,"Online application, academic records, CV or profile information; exact upload requirements need checking on the application portal.",Internship,AI or digital governance,Higher political sensitivity or China-related risk framing: ned,高,值得申请,"Highly aligned with AI governance, digital policy and UN programme engagement.",2026-07-10,2026-07-10,28fbc7de3fe73858
Audio-Visual Intern,internship,Internship,United Nations Department of Global Communications,public information; communications; UN outreach; media production,全球治理/国际组织,低,2026-07-18,Needs checking,"Mexico City, Mexico",https://careers.un.org/jobSearchDescription/279443?language=en,https://careers.un.org/jobSearchDescription/279443?language=en,UN internship eligibility applies; media or audio-visual skills are likely required and need checking inside UN Careers.,No application fee; living and travel costs need checking.,Needs checking,Needs checking,"UN Careers profile, CV-style employment and education information, and possible portfolio; exact materials need checking.",Internship,Communications,Role may require specialized audio-visual production skills rather than policy research.,中,新发现,Useful for UN communications exposure but less directly aligned with policy research.,2026-07-10,2026-07-10,015ff0b66a63d1ab
