机会名称,机会类型,机会类型分组,主办方,议题标签,主题分区,相关度,截止日期,会议日期,地点/线上,原网页链接,申请/投稿链接,参加条件,费用,是否有资助,资助说明链接,需要准备的材料,岗位类型,岗位职能,排除原因,行动优先级,状态,备注
Earth System Governance Conference,学术年会/CFP,学术论坛/CFP,Earth System Governance Project,气候治理;可持续发展;全球治理,可持续发展/气候,高,待核查,待核查,线下/混合待核查,https://www.earthsystemgovernance.org/events/,https://www.earthsystemgovernance.org/events/,学者;研究生;政策研究者,注册费待核查,待核查,https://www.earthsystemgovernance.org/events/,摘要;论文;CV,,研究支持,,中高,长期关注,气候治理和可持续发展高度相关
Development Studies Association Conference,学术年会/CFP,学术论坛/CFP,Development Studies Association,发展;不平等;可持续发展,发展/不平等,高,待核查,待核查,英国/线上待核查,https://www.devstud.org.uk/conference/,https://www.devstud.org.uk/conference/,发展研究学者;研究生,注册费待核查,待核查,https://www.devstud.org.uk/conference/,论文摘要;panel 信息,,研究支持,,中高,长期关注,发展研究核心会议
IPPA International Conference on Public Policy,学术年会/CFP,学术论坛/CFP,International Public Policy Association,公共政策;全球治理;AI治理;气候政策,AI治理,中,待核查,待核查,线下,https://www.ippapublicpolicy.org/conference,https://www.ippapublicpolicy.org/conference,公共政策研究者;学生可投稿,注册费待核查,待核查,https://www.ippapublicpolicy.org/conference/,摘要;论文;个人信息,,政策研究,,中,长期关注,需按 panel 筛选全球治理和发展方向
ACUNS Annual Meeting,学术年会/CFP,学术论坛/CFP,Academic Council on the United Nations System,联合国;全球治理;国际组织;发展,全球治理/国际组织,高,待核查,待核查,线下/混合待核查,https://acuns.org/annual-meeting/,https://acuns.org/annual-meeting/,联合国研究相关学者;学生可投稿,注册费待核查,待核查,https://acuns.org/annual-meeting/,摘要;CV;panel 信息,,研究支持,,中高,长期关注,联合国系统研究高度相关
UNCTAD eWeek,国际组织会议,会议,UNCTAD,数字治理;AI治理;发展;国际组织,AI治理,高,待核查,待核查,日内瓦/线上待核查,https://unctad.org/meeting,https://unctad.org/meeting,公开报名或邀请;待核查,免费或待核查,待核查,待核查,注册表;身份信息,,待核查,,中高,长期关注,数字经济与发展方向值得监测
AI for Good Global Summit,国际组织会议,会议,ITU and partners,AI治理;可持续发展;全球治理,AI治理,高,待核查,待核查,日内瓦/线上,https://aiforgood.itu.int/summit/,https://aiforgood.itu.int/summit/,公开报名;资格待核查,待核查,待核查,待核查,注册表;待核查,,待核查,,中高,长期关注,AI 与可持续发展直接相关
UNFCCC Conference of Youth COY,青年论坛,青年项目,YOUNGO and UNFCCC constituency,气候治理;青年参与;可持续发展,可持续发展/气候,高,待核查,待核查,线下,https://www.youngo.uno/coy,https://www.youngo.uno/coy,青年参与者;资格待核查,待核查,待核查,待核查,申请表;动机陈述,,待核查,,中高,长期关注,气候青年参与重要来源
Y20 Summit,G20 青年项目,青年项目,Y20,青年参与;全球治理;发展;金融,全球治理/国际组织,高,待核查,待核查,轮值主席国,https://youth20.org/,https://youth20.org/,青年代表;国别选拔待核查,待核查,待核查,待核查,申请表;代表资格材料,,待核查,,中高,长期关注,G20 青年参与和政策建议相关
T20 Summit,国际政策论坛,会议,T20,全球治理;发展融资;债务;气候政策,国际金融/债务,高,待核查,待核查,轮值主席国,https://www.g20.org/en/,https://www.g20.org/en/,研究者;智库和学者参与方式待核查,待核查,待核查,待核查,论文摘要;政策简报;待核查,,政策研究,,中高,长期关注,G20 智库网络可能有投稿和参会机会
Young Scholars Initiative Events,青年学者项目,青年项目,Institute for New Economic Thinking,发展;不平等;金融;债务,国际金融/债务,高,待核查,待核查,线上/线下,https://ysi.ineteconomics.org/events,https://ysi.ineteconomics.org/events,青年学者;研究生;早期职业,免费或待核查,待核查,https://ysi.ineteconomics.org/events,摘要;个人资料;待核查,,研究支持,,中高,长期关注,发展金融和不平等方向青年学者机会较多
Global Development Network Conference,学术会议/CFP,学术论坛/CFP,Global Development Network,发展;不平等;可持续发展,发展/不平等,高,待核查,待核查,线下待核查,https://www.gdn.int/events,https://www.gdn.int/events,发展研究者;早期职业待核查,待核查,待核查,待核查,论文摘要;研究计划,,研究支持,,中高,长期关注,发展研究和南方学者网络相关
UNDP Graduate Programme,青年职业项目,青年项目,UNDP,发展;国际组织;可持续发展,全球治理/国际组织,高,待核查,待核查,多地,https://www.undp.org/careers,https://www.undp.org/careers,研究生或青年专业人士;资格待核查,不适用,是,https://www.undp.org/careers,CV;申请表;学历证明,,项目支持,,中高,长期关注,虽然不是会议但对国际组织经历拓展有价值
World Bank Treasury Summer Internship,Internship,Internship,World Bank Treasury,金融;发展融资;国际组织,国际金融/债务,高,待核查,待核查,华盛顿/待核查,https://treasury.worldbank.org/en/about/unit/treasury/careers/student-internship,https://treasury.worldbank.org/en/about/unit/treasury/careers/student-internship,学生;金融背景;资格待核查,不适用,是,https://treasury.worldbank.org/en/about/unit/treasury/careers/student-internship,CV;成绩单;申请表,Internship,发展融资,,中高,长期关注,国际金融和发展融资相关 internship
UNESCO Youth Forum,青年论坛,青年项目,UNESCO,青年参与;可持续发展;全球治理,全球治理/国际组织,中,待核查,待核查,待核查,https://www.unesco.org/en/youth,https://www.unesco.org/en/youth,青年代表;资格待核查,待核查,待核查,待核查,申请表;组织背景,,待核查,,中,长期关注,需筛选与发展和治理相关主题
One Young World Summit Scholarship,青年峰会/奖学金,青年项目,One Young World,可持续发展;青年参与;不平等;气候,可持续发展/气候,中,待核查,待核查,线下,https://www.oneyoungworld.com/scholarships,https://www.oneyoungworld.com/scholarships,青年领导者;具体资格待核查,会议费用待核查,是,https://www.oneyoungworld.com/scholarships,申请表;短文;推荐信息,,待核查,,中,长期关注,奖学金多但需筛选主题相关项目
Atlantic Council Millennium Fellowship,Fellowship,Fellowship,Atlantic Council,全球治理;国际关系;技术治理,国际关系/政治学,中,待核查,待核查,线上/线下待核查,https://www.atlanticcouncil.org/programs/millennium-leadership-program/millennium-fellowship/,https://www.atlanticcouncil.org/programs/millennium-leadership-program/millennium-fellowship/,青年专业人士;资格待核查,待核查,待核查,待核查,CV;申请陈述;推荐信,,战略研究,,中,长期关注,全球治理青年 fellowship 样例
Chatham House Academy Fellowship,Fellowship,Fellowship,Chatham House,国际关系;全球治理;发展;气候,全球治理/国际组织,高,待核查,待核查,伦敦,https://www.chathamhouse.org/about-us/our-departments/queen-elizabeth-ii-academy-leadership-in-international-affairs,https://www.chathamhouse.org/about-us/our-departments/queen-elizabeth-ii-academy-leadership-in-international-affairs,早期职业;地区和项目资格待核查,待核查,是,https://www.chathamhouse.org/about-us/our-departments/queen-elizabeth-ii-academy-leadership-in-international-affairs,CV;研究计划;推荐信,,研究支持,,中高,长期关注,国际事务 fellowship 与议题高度相关
SSRC International Dissertation Research Fellowship,Fellowship,Fellowship,Social Science Research Council,国际关系;发展;全球治理;政治学,国际关系/政治学,高,待核查,待核查,待核查,https://www.ssrc.org/fellowships/,https://www.ssrc.org/fellowships/,博士生;社会科学研究;资格待核查,待核查,是,https://www.ssrc.org/fellowships/,研究计划;CV;推荐信,,研究支持,,中高,长期关注,社会科学研究 fellowship 可作为国际关系和发展研究方向长期监测源
UN Careers Political Affairs Internship,Internship,Internship,United Nations,政治事务;全球治理;国际组织,全球治理/国际组织,高,待核查,待核查,纽约/日内瓦/线上待核查,https://careers.un.org/,https://careers.un.org/,在读或近期毕业;英语要求;具体学历待核查,不适用,否,待核查,CV;Cover Letter;申请表,Internship,政策研究,,中高,待核查,UN Careers 中政治事务类 internship 适合作为重点监测对象
UNDP Governance Internship,Internship,Internship,UNDP,治理;发展;可持续发展;国际组织,全球治理/国际组织,高,待核查,待核查,多地/远程待核查,https://www.undp.org/careers,https://www.undp.org/careers,在读研究生或近期毕业;资格待核查,不适用,待核查,待核查,CV;Cover Letter;申请表,Internship,治理,,中高,待核查,UNDP 治理和发展方向 internship 与目标匹配
UNEP Climate Communications Internship,Internship,Internship,UNEP,气候;可持续发展;传播倡导,可持续发展/气候,高,待核查,待核查,内罗毕/远程待核查,https://www.unep.org/work-with-us,https://www.unep.org/work-with-us,学生或近期毕业;传播或政策兴趣,不适用,待核查,待核查,CV;Cover Letter;写作样本待核查,Internship,传播倡导,,中高,待核查,气候传播倡导类 internship 比强技术岗位更适合
UNESCO Social and Human Sciences Internship,Internship,Internship,UNESCO,可持续发展;社会政策;不平等,发展/不平等,中,待核查,待核查,巴黎/远程待核查,https://www.unesco.org/en/careers/internships,https://www.unesco.org/en/careers/internships,在读学生;语言要求待核查,不适用,待核查,待核查,CV;动机信;申请表,Internship,项目支持,,中,待核查,UNESCO 社科和政策类 internship 可观察
UNIDO Industrial Policy Internship,Internship,Internship,UNIDO,发展;产业政策;可持续发展,发展/不平等,中,待核查,待核查,维也纳/远程待核查,https://www.unido.org/careers,https://www.unido.org/careers,学生或近期毕业;发展政策兴趣,不适用,待核查,待核查,CV;Cover Letter;申请表,Internship,政策研究,,中,待核查,产业发展政策方向可保留
UNCTAD Digital Economy Internship,Internship,Internship,UNCTAD,数字治理;AI治理;发展,AI治理,高,待核查,待核查,日内瓦/远程待核查,https://unctad.org/about/job-opportunities,https://unctad.org/about/job-opportunities,学生或近期毕业;经济或政策背景待核查,不适用,待核查,待核查,CV;Cover Letter;申请表,Internship,AI或数字治理,,中高,待核查,数字经济与发展方向匹配度高
UN-Habitat Urban Planning Internship,Internship,Internship,UN-Habitat,城市规划;可持续城市,其他,低,待核查,待核查,内罗毕/远程待核查,https://unhabitat.org/jobs,https://unhabitat.org/jobs,城市规划或建筑背景,不适用,待核查,待核查,CV;Portfolio;申请表,Internship,城市规划,岗位职能偏强专业壁垒：城市规划,低,待核查,边界测试：城市规划类 internship 默认排除
UN Careers Legal Affairs Internship,Internship,Internship,United Nations,法律;国际组织,其他,低,待核查,待核查,纽约/日内瓦待核查,https://careers.un.org/,https://careers.un.org/,法律专业背景;法学院学生,不适用,待核查,待核查,CV;Cover Letter;法学背景材料,Internship,法律,岗位职能偏强专业壁垒：法律,低,待核查,边界测试：法律类 internship 默认排除
UNDP Human Resources Internship,Internship,Internship,UNDP,人力资源;国际组织,其他,低,待核查,待核查,多地待核查,https://www.undp.org/careers,https://www.undp.org/careers,HR 或管理背景待核查,不适用,待核查,待核查,CV;Cover Letter;申请表,Internship,人力资源,岗位职能偏强专业壁垒：人力资源,低,待核查,边界测试：HR 类 internship 默认排除
OECD Policy Internship,Internship,Internship,OECD,公共政策;治理;发展;AI治理,AI治理,高,待核查,待核查,巴黎/远程待核查,https://www.oecd.org/careers/internship-programme/,https://www.oecd.org/careers/internship-programme/,在读学生;政策研究兴趣,不适用,待核查,待核查,CV;Cover Letter;申请表,Internship,政策研究,,中高,长期关注,OECD 政策类 internship 是高价值监测源
ADB Sustainable Development Internship,Internship,Internship,Asian Development Bank,可持续发展;发展融资;气候,可持续发展/气候,高,待核查,待核查,马尼拉/远程待核查,https://www.adb.org/work-with-us/careers/internship-program,https://www.adb.org/work-with-us/careers/internship-program,研究生;发展相关背景,不适用,待核查,待核查,CV;研究兴趣;申请表,Internship,可持续发展,,中高,长期关注,区域开发银行 internship 与发展融资和气候方向相关
Food Security Research Symposium,学术会议/CFP,学术论坛/CFP,Example Research Network,粮食安全;农业政策,其他,低,待核查,待核查,线上,https://example.org/food-security-symposium,https://example.org/food-security-symposium,研究者;学生可投稿,待核查,待核查,待核查,摘要;论文,,研究支持,,低,待核查,边界测试：粮食安全默认低优先级
Population Futures Conference,学术会议/CFP,学术论坛/CFP,Example Population Institute,人口;社会政策,其他,低,待核查,待核查,线下,https://example.org/population-futures-conference,https://example.org/population-futures-conference,研究者;学生可投稿,待核查,待核查,待核查,摘要;论文,,研究支持,,低,待核查,边界测试：人口主题默认低优先级
Public Health Governance Workshop,Workshop,会议,Example Health Policy School,公共卫生;治理,其他,低,待核查,待核查,线上,https://example.org/public-health-governance-workshop,https://example.org/public-health-governance-workshop,学生和青年学者,待核查,待核查,待核查,CV;申请表,,待核查,,低,待核查,边界测试：公共卫生未连接发展金融时低优先级
